QTY,DESCRIPTION, EA , K 
1,63A Legland main switch," MWK 17,000.00 "," MWK 17,000.00 "
4,10A circuit breakers," MWK 5,250.00 "," MWK 21,000.00 "
4,20A circuit breakers," MWK 5,250.00 "," MWK 21,000.00 "
2,30A circuit breakers," MWK 5,250.00 "," MWK 10,500.00 "
1,Earth electrode," MWK 3,000.00 "," MWK 3,000.00 "
6,Sphere fittings," MWK 4,500.00 "," MWK 27,000.00 "
12,wall glass fittings," MWK 2,500.00 "," MWK 30,000.00 "
1,Day light switch," MWK 12,000.00 "," MWK 12,000.00 "
1,Cooker control unit," MWK 7,000.00 "," MWK 7,000.00 "
1,Cooker outlet," MWK 4,000.00 "," MWK 4,000.00 "
1,Gyser switch," MWK 6,000.00 "," MWK 6,000.00 "
18,Pendant lamp holders," MWK 2,000.00 "," MWK 36,000.00 "
22,Doule socket lush," MWK 3,800.00 "," MWK 83,600.00 "
20,2 way x 1 gang switch," MWK 1,500.00 "," MWK 30,000.00 "
6,2 way x 2 gang switch," MWK 1,650.00 "," MWK 9,900.00 "
7,5 wats down light," MWK 5,000.00 "," MWK 35,000.00 "
2,Chandrella," MWK 85,000.00 "," MWK 170,000.00 "
70,pvc round covers, MWK 30.00 ," MWK 2,100.00 "
8,8 x 1/2 screws, MWK 500.00 ," MWK 4,000.00 "
,,,
,,,
,,,
,,," MWK 529,100.00 "
